# mesh name: latDmax2D
# primitive scorer name: latDmaxDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,4.251205034712742e-05,2.891433649622893e-13,8637
1,0,0,4.036876108584772e-05,2.793343090204132e-13,8196
2,0,0,3.70285422535572e-05,2.593215040310896e-13,7475
3,0,0,3.59015643963527e-05,2.484045901078973e-13,7271
4,0,0,3.3804969872556e-05,2.354424399361387e-13,6896
5,0,0,3.232922626910661e-05,2.239074075639483e-13,6566
6,0,0,3.028674519153255e-05,2.079994580526938e-13,6215
7,0,0,2.921619077186877e-05,2.055156109863679e-13,5904
8,0,0,2.7801931659178e-05,1.91971096740342e-13,5705
9,0,0,2.609006857591162e-05,1.795903122572158e-13,5376
10,0,0,2.527056976015092e-05,1.766543074618742e-13,5126
11,0,0,2.413896174644111e-05,1.710903766133083e-13,4836
12,0,0,2.355295759092565e-05,1.675113845426343e-13,4701
13,0,0,2.145268893480734e-05,1.546614821700136e-13,4338
14,0,0,2.044870684759898e-05,1.425801858873161e-13,4184
15,0,0,1.998624018856561e-05,1.408953333554154e-13,4052
16,0,0,1.965397926738199e-05,1.428292845875644e-13,3987
17,0,0,1.873823837213236e-05,1.32026367117162e-13,3857
18,0,0,1.831245858341316e-05,1.307036149581496e-13,3723
19,0,0,1.743618525884586e-05,1.25826009871862e-13,3536
20,0,0,1.6713914309675e-05,1.237887627276943e-13,3368
21,0,0,1.662812170839233e-05,1.223500217072897e-13,3343
22,0,0,1.528601555390498e-05,1.080773050591942e-13,3165
23,0,0,1.524237813046743e-05,1.081538723426275e-13,3171
24,0,0,1.529007144411021e-05,1.131172551892166e-13,3078
25,0,0,1.458993919572699e-05,1.057687144504791e-13,2981
26,0,0,1.412386226287292e-05,1.013550173216202e-13,2912
27,0,0,1.430272782487655e-05,1.048428405730099e-13,2919
28,0,0,1.428351376115402e-05,1.068571924391744e-13,2865
29,0,0,1.297202292499619e-05,9.6102572296914e-14,2695
30,0,0,1.279036167965449e-05,9.291888337558924e-14,2611
