# mesh name: latR50_2D
# primitive scorer name: latR50Dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,7.382385390760419e-07,5.574494871663254e-15,241
1,0,0,1.069752206574042e-06,8.820372985358008e-15,281
2,0,0,1.38992942104298e-06,1.285391014825769e-14,346
3,0,0,1.616101249052579e-06,1.26617427818432e-14,395
4,0,0,2.202888109641e-06,1.812830613204394e-14,499
5,0,0,2.85789858990184e-06,2.145903809460521e-14,661
6,0,0,4.391980347149858e-06,3.802482900760849e-14,904
7,0,0,6.005051360531146e-06,5.191712928958406e-14,1202
8,0,0,7.851392268956499e-06,7.041266455663192e-14,1507
9,0,0,1.039679555132601e-05,8.86200609844774e-14,2008
10,0,0,1.375691251393555e-05,1.171335198074809e-13,2585
11,0,0,1.769345827690197e-05,1.481754937291516e-13,3344
12,0,0,2.324665944902977e-05,1.994207477390995e-13,4318
13,0,0,2.955647941250466e-05,2.481124845945062e-13,5580
14,0,0,3.820061139992084e-05,3.18682005545935e-13,7222
15,0,0,4.87866701133712e-05,4.022706251444735e-13,9258
16,0,0,6.195414779962661e-05,5.125431354774055e-13,11762
17,0,0,7.680350320047109e-05,6.196922396781358e-13,14647
18,0,0,9.502697810535803e-05,7.738759487132406e-13,18087
19,0,0,0.0001159708359673905,9.358975177504718e-13,22335
20,0,0,0.000139449973711692,1.098896284119868e-12,27155
21,0,0,0.0001673059638242653,1.32624012995514e-12,32339
22,0,0,0.0001974071252138455,1.559967901975571e-12,38064
23,0,0,0.0002289012694248246,1.804878333048785e-12,44189
24,0,0,0.0002619820797208002,2.056185904188814e-12,50437
25,0,0,0.0002921700984771191,2.295069372610444e-12,56002
26,0,0,0.0003181683259459175,2.496087726193318e-12,61174
27,0,0,0.0003462708760487932,2.710839781624934e-12,66463
28,0,0,0.0003667676473018875,2.881622845209537e-12,70359
29,0,0,0.0003864722864519329,3.037109631216574e-12,74437
30,0,0,0.0004053438400295671,3.19130840277623e-12,77609
31,0,0,0.0004188388855520207,3.309806941403111e-12,80180
32,0,0,0.0004265194203415107,3.34723011098991e-12,82267
33,0,0,0.0004337310195587366,3.414894344096766e-12,83503
34,0,0,0.0004469228496646611,3.544922122457762e-12,85339
35,0,0,0.0004480990672448777,3.516203687790027e-12,86181
36,0,0,0.0004506177262762205,3.528786989718113e-12,86983
37,0,0,0.0004566630332966901,3.594518836590958e-12,87580
38,0,0,0.000461802899416167,3.651462674491056e-12,88335
39,0,0,0.0004634756039771852,3.670292371217551e-12,88504
40,0,0,0.0004620087073576115,3.635015077506984e-12,88650
41,0,0,0.0004645651365734697,3.670000879947956e-12,89088
42,0,0,0.0004656682479217239,3.669348507672988e-12,89386
43,0,0,0.0004638307031820882,3.636115516514732e-12,89415
44,0,0,0.0004640282268306315,3.645845091019873e-12,88945
45,0,0,0.0004633050657615011,3.644600364042651e-12,89079
46,0,0,0.0004674397294021406,3.693101861736088e-12,89577
47,0,0,0.0004673831225656187,3.690338186581845e-12,89743
48,0,0,0.0004711257227628201,3.697959605976007e-12,90312
49,0,0,0.0004664013308876158,3.654816566174382e-12,89778
50,0,0,0.0004673143535392938,3.678388649506633e-12,89643
51,0,0,0.0004683230301191212,3.717852694868377e-12,89533
52,0,0,0.0004644960798985546,3.666070024793598e-12,89325
53,0,0,0.0004692292743413716,3.701915205361603e-12,90078
54,0,0,0.0004659185176724164,3.665767086308689e-12,89672
55,0,0,0.0004693751945611139,3.695719410849862e-12,90173
56,0,0,0.0004682324239906284,3.682555458095573e-12,90087
57,0,0,0.0004651171670380743,3.632227336936741e-12,89757
58,0,0,0.0004697365054199819,3.691721796705628e-12,90210
59,0,0,0.0004682264705740391,3.672963275628436e-12,90427
60,0,0,0.0004642714395014405,3.633960019071192e-12,89470
61,0,0,0.000468028145781553,3.669933389736232e-12,90073
62,0,0,0.0004699029176882691,3.699228129191815e-12,90346
63,0,0,0.0004706225104268161,3.700816875332681e-12,90435
64,0,0,0.0004688140673013892,3.670302234322667e-12,90301
65,0,0,0.0004666045833626939,3.647409684835593e-12,90407
66,0,0,0.0004709381242712052,3.703536622730387e-12,90614
67,0,0,0.0004695112760460369,3.686179466234622e-12,90279
68,0,0,0.000471332868576222,3.704635490964209e-12,90608
69,0,0,0.0004714674850672075,3.683743453086289e-12,90901
70,0,0,0.0004721661739849917,3.707513109872412e-12,90952
71,0,0,0.0004714797484075869,3.700130644078198e-12,90784
72,0,0,0.0004701557883759309,3.669080850022186e-12,90693
73,0,0,0.0004697640014534675,3.707737207710701e-12,90561
74,0,0,0.0004667964876588196,3.650038673945641e-12,90089
75,0,0,0.000468953026566109,3.684012498763273e-12,90283
76,0,0,0.0004686492676622701,3.686799462385442e-12,90127
77,0,0,0.0004694344056677134,3.682675250781894e-12,90311
78,0,0,0.0004692870730683991,3.680622167845623e-12,90331
79,0,0,0.000469407068894604,3.685454967660088e-12,90363
80,0,0,0.0004714138536485878,3.701665286488016e-12,90891
81,0,0,0.0004717621765000191,3.711826088325833e-12,90570
82,0,0,0.000470518514760426,3.711359883208906e-12,90270
83,0,0,0.000471379516281201,3.706377375928365e-12,90604
84,0,0,0.0004699834399668223,3.697229938545422e-12,90566
85,0,0,0.0004676827011274549,3.660248163024689e-12,90267
86,0,0,0.0004705213990560397,3.690722073189149e-12,90494
87,0,0,0.0004686482752497357,3.702448942240118e-12,90191
88,0,0,0.000468661941996198,3.707797643085721e-12,89813
89,0,0,0.0004692271595520221,3.677285031255799e-12,90261
90,0,0,0.0004675503399767259,3.664188081054668e-12,90267
91,0,0,0.0004695357012400048,3.697890091375477e-12,90027
92,0,0,0.0004682607177700494,3.685986986822989e-12,89896
93,0,0,0.0004682560018261897,3.674269119210973e-12,90207
94,0,0,0.0004717392762078507,3.732398221104808e-12,90578
95,0,0,0.0004714039733105453,3.712992006512903e-12,90522
96,0,0,0.0004651243938206434,3.635985333548051e-12,89705
97,0,0,0.0004687271574266769,3.705804412009649e-12,89991
98,0,0,0.0004685362987490705,3.688899514692533e-12,89859
99,0,0,0.0004672593485542655,3.671174607293005e-12,89788
100,0,0,0.0004698152624718617,3.715645922435457e-12,90123
101,0,0,0.0004679801471412127,3.702954481172453e-12,89712
102,0,0,0.0004675729445985776,3.689890240767212e-12,89834
103,0,0,0.0004647018026659459,3.678054560848802e-12,89159
104,0,0,0.0004643629601790601,3.636866240537189e-12,89076
105,0,0,0.000462930417810606,3.637055296434711e-12,88973
106,0,0,0.0004619034867241524,3.649551292026077e-12,88727
107,0,0,0.0004635326314421295,3.643000764508701e-12,89234
108,0,0,0.0004637608359945799,3.667067662559008e-12,88906
109,0,0,0.0004615629665900868,3.649802426359756e-12,88759
110,0,0,0.0004596034581409692,3.620930315596281e-12,88604
111,0,0,0.0004600750539136493,3.613494210297196e-12,88223
112,0,0,0.0004564204760354503,3.578572320117115e-12,87895
113,0,0,0.0004523358942216875,3.558601825371917e-12,87176
114,0,0,0.000449803386863471,3.551019057149037e-12,86140
115,0,0,0.0004442340887788692,3.511994243763258e-12,85208
116,0,0,0.0004385385095413567,3.489772712297913e-12,83834
117,0,0,0.0004273655723015772,3.345291123139681e-12,82313
118,0,0,0.0004170109741741907,3.280092120789074e-12,80149
119,0,0,0.0004062074279495223,3.187372836198237e-12,77971
120,0,0,0.0003891681545182478,3.073136001873923e-12,74519
121,0,0,0.0003655687179442589,2.845147347112633e-12,70444
122,0,0,0.0003463620682315259,2.708342650696369e-12,66534
123,0,0,0.0003215749235193755,2.523851416868846e-12,61813
124,0,0,0.0002913316651620058,2.273250092907634e-12,56179
125,0,0,0.0002618779560766119,2.065112941435588e-12,50347
126,0,0,0.0002297962838717196,1.811922135805507e-12,44458
127,0,0,0.0001963676328045126,1.553564030220988e-12,37789
128,0,0,0.0001666654878697283,1.326197553416441e-12,32332
129,0,0,0.000140671886144886,1.128550495973404e-12,27144
130,0,0,0.0001164253805760085,9.442554558224913e-13,22453
131,0,0,9.570182663900452e-05,7.725070866183426e-13,18340
132,0,0,7.730050908000411e-05,6.320228719005797e-13,14785
133,0,0,6.224183762715823e-05,5.141938046694075e-13,11725
134,0,0,4.948017222099446e-05,4.057849298992132e-13,9351
135,0,0,3.945641543733827e-05,3.279365773265854e-13,7434
136,0,0,3.069597006204998e-05,2.545641732314841e-13,5749
137,0,0,2.437942375952931e-05,2.079532449537556e-13,4528
138,0,0,1.86453009946699e-05,1.658488459305641e-13,3378
139,0,0,1.381234574446741e-05,1.163458551018655e-13,2597
140,0,0,1.018021992854982e-05,8.406799379299388e-14,2008
141,0,0,7.46592709138759e-06,6.201773762032103e-14,1489
142,0,0,5.670494208584201e-06,4.909913141919565e-14,1104
143,0,0,4.276594937872784e-06,3.71292793428318e-14,859
144,0,0,2.906820447676876e-06,2.28919624111709e-14,645
145,0,0,2.053497574838495e-06,1.547297077626012e-14,509
146,0,0,1.725706868578454e-06,1.3656161557325e-14,438
147,0,0,1.081940585557008e-06,8.568717409869504e-15,312
148,0,0,9.061078512680695e-07,6.353102755478501e-15,281
149,0,0,6.271935095365126e-07,4.2415697815481e-15,246
