# mesh name: latDmax2D
# primitive scorer name: latDmaxDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,3.964659494067278e-05,2.753471307477884e-13,8023
1,0,0,3.870695685892499e-05,2.712010770098509e-13,7806
2,0,0,3.759991639881287e-05,2.664639258372171e-13,7598
3,0,0,3.540986753216063e-05,2.490756650299242e-13,7200
4,0,0,3.262103835900056e-05,2.280531395149274e-13,6659
5,0,0,3.080360783917237e-05,2.182175845149269e-13,6278
6,0,0,2.993991555317661e-05,2.121525582797452e-13,6071
7,0,0,2.811808764793027e-05,1.978087143149491e-13,5741
8,0,0,2.586779491636358e-05,1.817404848043768e-13,5293
9,0,0,2.525452882053374e-05,1.781071519460579e-13,5111
10,0,0,2.386188197656783e-05,1.713793144084511e-13,4806
11,0,0,2.281924976286356e-05,1.654936581877463e-13,4578
12,0,0,2.132247083063908e-05,1.51534397810291e-13,4301
13,0,0,1.984666028680617e-05,1.415769756991717e-13,4046
14,0,0,1.919436980323174e-05,1.373243326650955e-13,3884
15,0,0,1.810095751321673e-05,1.253459896454605e-13,3684
16,0,0,1.703232728545686e-05,1.226148062151782e-13,3462
17,0,0,1.609188260752598e-05,1.155570495139297e-13,3247
18,0,0,1.541187885195413e-05,1.101108632452905e-13,3103
19,0,0,1.462530794167006e-05,1.052881079843976e-13,2994
20,0,0,1.337610117337395e-05,9.297028060338064e-14,2777
21,0,0,1.262374288852566e-05,9.148378898325533e-14,2592
22,0,0,1.213644823225887e-05,8.521680285933473e-14,2496
23,0,0,1.175579290233741e-05,8.548972097833264e-14,2370
24,0,0,1.088781600594752e-05,7.719539411510844e-14,2238
25,0,0,1.089619151687954e-05,7.988113521303677e-14,2193
26,0,0,1.029691240755045e-05,7.559475510756542e-14,2071
27,0,0,9.561327081559247e-06,7.042975994988859e-14,1969
28,0,0,9.189660018928401e-06,6.496823343686403e-14,1886
29,0,0,8.553139317310715e-06,6.146840894907512e-14,1771
30,0,0,8.411913467119074e-06,6.042753805076157e-14,1699
