# mesh name: latDmax2D
# primitive scorer name: latDmaxDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,7.898171186227646e-07,5.797812427618518e-15,205
1,0,0,1.007036349622832e-06,8.418123149708941e-15,231
2,0,0,7.335471582835553e-07,5.973399710938581e-15,195
3,0,0,8.37300405975158e-07,6.98426148313372e-15,206
4,0,0,9.469160098257302e-07,8.776599537712904e-15,225
5,0,0,9.282317650292703e-07,7.17523775541792e-15,242
6,0,0,8.992747993941833e-07,7.574661742020548e-15,227
7,0,0,9.700245103944311e-07,7.188140140535581e-15,259
8,0,0,9.422133595451211e-07,7.29929656566602e-15,251
9,0,0,9.329652979969216e-07,7.327169626913637e-15,269
10,0,0,1.098149136006831e-06,9.050124928330071e-15,277
11,0,0,1.034756642613307e-06,7.849852552193981e-15,266
12,0,0,1.102866350699564e-06,9.182181701107472e-15,285
13,0,0,1.055504139426796e-06,9.343328979467624e-15,255
14,0,0,1.075092855440967e-06,9.110552465664622e-15,270
15,0,0,1.094896309159465e-06,8.818432463502937e-15,283
16,0,0,1.149070884007648e-06,1.071846410255553e-14,275
17,0,0,1.007182559921538e-06,7.028992004825597e-15,280
18,0,0,1.202192622614242e-06,1.044763242419481e-14,256
19,0,0,1.107323916146952e-06,9.042797058861675e-15,284
20,0,0,1.27381874769954e-06,1.099777027940149e-14,332
21,0,0,1.089309051070831e-06,7.693250502135196e-15,327
22,0,0,1.118815868537882e-06,9.04640247099209e-15,297
23,0,0,1.262445790578214e-06,1.021148157855279e-14,307
24,0,0,1.32103155254937e-06,1.094800536561095e-14,324
25,0,0,1.31375365943349e-06,9.741007954135033e-15,350
26,0,0,1.737606065114021e-06,1.580742766513222e-14,380
27,0,0,1.82725714089234e-06,1.738518194865188e-14,415
28,0,0,2.117699724727031e-06,1.880244565664958e-14,465
29,0,0,2.206388149686491e-06,1.893239392521686e-14,509
30,0,0,2.696439130864386e-06,2.195082524727806e-14,583
31,0,0,3.364651628377456e-06,2.760643867212988e-14,704
32,0,0,4.557887066958186e-06,3.940773649445253e-14,907
33,0,0,5.812907059948511e-06,5.146391159234408e-14,1144
34,0,0,8.081815520135218e-06,6.846281687076758e-14,1595
35,0,0,1.071818536006981e-05,9.068663266587017e-14,1975
36,0,0,1.346104447702336e-05,1.120638819091128e-13,2537
37,0,0,1.763588036593651e-05,1.50017507448658e-13,3256
38,0,0,2.186080714602804e-05,1.817291771482832e-13,4060
39,0,0,2.728226070823986e-05,2.257416697422288e-13,5142
40,0,0,3.465531854823907e-05,2.83953220541158e-13,6601
41,0,0,4.458051001355883e-05,3.621589136339055e-13,8487
42,0,0,5.845876682071399e-05,4.775331205004971e-13,11180
43,0,0,7.575378047799054e-05,6.051504871492066e-13,14725
44,0,0,9.973975542617977e-05,7.855812479740779e-13,19718
45,0,0,0.0001342512530419712,1.048637616274089e-12,26693
46,0,0,0.0001844682343216706,1.405738035063269e-12,37187
47,0,0,0.0002556240954424736,1.913539550159109e-12,51782
48,0,0,0.0003581321076319939,2.642920117484226e-12,72421
49,0,0,0.0004847579804643921,3.530639121726558e-12,97395
50,0,0,0.0006101124916688708,4.383929498206789e-12,122148
51,0,0,0.0007153968514170618,5.13200039220626e-12,142778
52,0,0,0.0007888237630484228,5.667073781719137e-12,157681
53,0,0,0.0008277179836000663,5.939801136393319e-12,166364
54,0,0,0.0008535336452422201,6.128933901625445e-12,171268
55,0,0,0.0008676587775754791,6.258790993161358e-12,174015
56,0,0,0.0008795970260859994,6.342363305467093e-12,176383
57,0,0,0.0008828445626962815,6.417330990384968e-12,176807
58,0,0,0.0008885717133100204,6.461078912072566e-12,177624
59,0,0,0.0008900149764366435,6.453267725467172e-12,178181
60,0,0,0.0008932462377285543,6.522738713234553e-12,178271
61,0,0,0.0008896425525410541,6.463355890767183e-12,177858
62,0,0,0.0008919577088260329,6.586215293430077e-12,178444
63,0,0,0.000888534133941182,6.452611586449245e-12,177883
64,0,0,0.0008917322386381196,6.512799935221527e-12,177751
65,0,0,0.0008906864016764828,6.503672472955989e-12,177804
66,0,0,0.0008945548327318494,6.538540362496797e-12,178317
67,0,0,0.0008913849095430873,6.498973884272007e-12,178221
