# mesh name: latR50_2D
# primitive scorer name: latR50Dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,6.47275385060414e-06,5.070208685939104e-14,1430
1,0,0,8.524830818219464e-06,7.17728855259762e-14,1789
2,0,0,1.038076466861873e-05,8.482051561167015e-14,2144
3,0,0,1.314971776036763e-05,1.071536416155913e-13,2649
4,0,0,1.682153380700118e-05,1.396262672929298e-13,3351
5,0,0,1.9945548053039e-05,1.692006864764064e-13,3930
6,0,0,2.432617172406355e-05,2.032677925084794e-13,4754
7,0,0,2.931099215625363e-05,2.358905204769989e-13,5749
8,0,0,3.509350163230346e-05,2.885881251028944e-13,6864
9,0,0,4.256779603674141e-05,3.450471640068972e-13,8313
10,0,0,5.019297592275986e-05,4.057083034800946e-13,9780
11,0,0,5.989204524941351e-05,4.838080750734236e-13,11671
12,0,0,7.019685488366627e-05,5.53944302912892e-13,13943
13,0,0,8.457143804343891e-05,6.747647679458165e-13,16570
14,0,0,9.83108797974704e-05,7.821173708776314e-13,19323
15,0,0,0.0001169462345556637,9.350041499206554e-13,22802
16,0,0,0.000133380371723825,1.047316784954016e-12,26201
17,0,0,0.0001516287899402844,1.183445238447269e-12,29955
18,0,0,0.0001739645674069842,1.366272782117167e-12,34096
19,0,0,0.0001960399174731242,1.534362206246428e-12,38408
20,0,0,0.0002194752907121948,1.726469787346845e-12,43132
21,0,0,0.000245620272306089,1.929562548275597e-12,47890
22,0,0,0.0002698898065540133,2.09944661314979e-12,52778
23,0,0,0.0002992722436481413,2.345913183689695e-12,58066
24,0,0,0.0003264192861685149,2.554753936199347e-12,63605
25,0,0,0.000350472467762253,2.721961254524548e-12,68259
26,0,0,0.0003744780985388361,2.915249215700899e-12,73007
27,0,0,0.0003991783155674737,3.110392988391622e-12,77487
28,0,0,0.0004227415654397872,3.271858773754719e-12,82315
29,0,0,0.0004430876583301696,3.476879146815737e-12,86188
30,0,0,0.0004591206084715777,3.556578919428735e-12,89779
31,0,0,0.0004805024589256186,3.722578895106247e-12,93474
32,0,0,0.0004975754767549027,3.874317326979747e-12,96907
33,0,0,0.0005123889366184387,4.012209335415043e-12,99339
