# mesh name: latMid2D
# primitive scorer name: latMidDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.399113158804102e-06,1.069849564576793e-14,370
1,0,0,1.735762355095492e-06,1.490080672246253e-14,417
2,0,0,1.489935274645002e-06,1.137789030288858e-14,405
3,0,0,1.492866780717468e-06,1.124384477631993e-14,404
4,0,0,1.516228079557491e-06,1.238610191397814e-14,428
5,0,0,1.543992368861001e-06,1.234076069553753e-14,404
6,0,0,1.628418245794461e-06,1.324546703455704e-14,418
7,0,0,1.621274470947873e-06,1.2089146108367e-14,454
8,0,0,1.549640482097034e-06,1.198514102869109e-14,440
9,0,0,1.659386822168059e-06,1.223788872484559e-14,463
10,0,0,1.881641287781039e-06,1.435805123074983e-14,510
11,0,0,1.562713157873405e-06,1.120419720829148e-14,468
12,0,0,1.679044929485788e-06,1.172556482869418e-14,520
13,0,0,1.86768006476994e-06,1.538447623474316e-14,498
14,0,0,1.663816429628212e-06,1.182340105912164e-14,498
15,0,0,1.893687427167182e-06,1.441582760374648e-14,521
16,0,0,2.232281540452288e-06,1.695697717985895e-14,602
17,0,0,2.734783943692918e-06,2.288532937107319e-14,683
18,0,0,2.533653790445077e-06,1.913291970961637e-14,700
19,0,0,2.84594788716684e-06,2.370492793265856e-14,718
20,0,0,3.296884704568992e-06,2.677397161440801e-14,791
21,0,0,3.747763595513354e-06,2.99086578350136e-14,902
22,0,0,4.457370112297344e-06,3.688510653222354e-14,1016
23,0,0,5.475910457628362e-06,4.662398231885691e-14,1240
24,0,0,6.674659951703667e-06,5.562813763832854e-14,1437
25,0,0,7.796133851186231e-06,6.031060964621189e-14,1700
26,0,0,9.543473354976437e-06,7.664272130887298e-14,2033
27,0,0,1.184521593693206e-05,9.940897141983881e-14,2390
28,0,0,1.443599069430366e-05,1.211708904253536e-13,2866
29,0,0,1.736250627156796e-05,1.382573172227607e-13,3485
30,0,0,2.092525551604879e-05,1.72373197045756e-13,4069
31,0,0,2.538475371878712e-05,2.08979600412187e-13,4962
32,0,0,3.139828230636568e-05,2.541455363547085e-13,6121
33,0,0,3.811684396928868e-05,3.035897703309723e-13,7456
34,0,0,4.563299008369092e-05,3.629224931535177e-13,8996
35,0,0,5.568741591580581e-05,4.486427950061485e-13,10892
36,0,0,6.743271185917886e-05,5.326877346136449e-13,13335
37,0,0,8.117528726727226e-05,6.432133021373076e-13,15975
38,0,0,9.790488854786345e-05,7.623361341775947e-13,19504
39,0,0,0.0001199938256070315,9.39362929971101e-13,23931
40,0,0,0.0001452821569962872,1.115051020400905e-12,29265
41,0,0,0.0001776081649822639,1.352835872458985e-12,35844
42,0,0,0.0002156751604586477,1.630082605803495e-12,44110
43,0,0,0.0002641523249787219,1.98055896539732e-12,53930
44,0,0,0.0003212053508009646,2.413202163566972e-12,65750
45,0,0,0.0003865621562063443,2.869039330148685e-12,79268
46,0,0,0.0004679593274295093,3.458835716256468e-12,95470
47,0,0,0.0005534592585531818,4.06613264505541e-12,112712
48,0,0,0.0006484388639303041,4.73409539331536e-12,131692
49,0,0,0.0007521313836661794,5.489413791751492e-12,151878
50,0,0,0.0008522455281769901,6.195822081457883e-12,171473
51,0,0,0.0009433322079570916,6.849713312948243e-12,189183
52,0,0,0.001030918266606772,7.516338714739166e-12,205860
53,0,0,0.001103468523764301,8.023879756613563e-12,220903
54,0,0,0.001166972500231263,8.495651533860795e-12,233546
55,0,0,0.001220071186395276,8.864971712983766e-12,244764
56,0,0,0.001260404731289045,9.176898612226042e-12,252846
57,0,0,0.001295187812395201,9.482714495487595e-12,258969
58,0,0,0.001321327144284135,9.62918638571036e-12,265043
59,0,0,0.001338552559020553,9.770752358154733e-12,268786
60,0,0,0.001369485280954229,1.003917049888157e-11,273911
61,0,0,0.0013776626052851,1.01351508967604e-11,275521
62,0,0,0.001389343092951133,1.021700774907968e-11,277821
63,0,0,0.001395138669822215,1.028524808767861e-11,279267
64,0,0,0.001405654840451496,1.034760969045041e-11,281271
65,0,0,0.001408802490992766,1.038085778648142e-11,282008
66,0,0,0.001417020493189952,1.046061523655182e-11,283084
67,0,0,0.001424510432376189,1.052308611696598e-11,284463
68,0,0,0.001420735152328033,1.043717357955088e-11,284476
69,0,0,0.001425747098979153,1.05118757086004e-11,284960
70,0,0,0.001431047670134922,1.058507062966032e-11,285725
71,0,0,0.001433909904042659,1.0582267922229e-11,286339
72,0,0,0.001424314342788424,1.054865978354157e-11,284581
73,0,0,0.001425238393506902,1.056919207305968e-11,283623
74,0,0,0.001422974212171115,1.052972701991273e-11,283853
75,0,0,0.001420766959789092,1.048629898134381e-11,284050
76,0,0,0.001423091556164205,1.05143294574283e-11,284362
77,0,0,0.001426099004183833,1.050393654104204e-11,285188
78,0,0,0.001428485745883543,1.053857011469447e-11,285778
79,0,0,0.001430377121268677,1.054358299824611e-11,285734
80,0,0,0.00143123895551065,1.05771018528401e-11,285851
81,0,0,0.001427432995328182,1.053928499009841e-11,285087
82,0,0,0.001419397810732829,1.045781235534508e-11,283902
83,0,0,0.001418892469101885,1.043517550282277e-11,283872
84,0,0,0.00141461213101728,1.046512402546067e-11,282267
85,0,0,0.001405474531545986,1.031660769466504e-11,281672
86,0,0,0.001406908784230208,1.034542496752097e-11,281110
