# mesh name: latMid2D
# primitive scorer name: latMidDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,4.066449877676811e-05,2.78583080556667e-13,8287
1,0,0,3.78160363790298e-05,2.604205304268528e-13,7788
2,0,0,3.479925166028083e-05,2.381280647310207e-13,7204
3,0,0,3.369736771836662e-05,2.360586015742318e-13,6886
4,0,0,3.225736143106237e-05,2.259949828154448e-13,6587
5,0,0,3.082166658965495e-05,2.193682288040073e-13,6228
6,0,0,2.814549757211847e-05,2.005387953776748e-13,5727
7,0,0,2.752894117352276e-05,1.941494043718441e-13,5573
8,0,0,2.580875328572012e-05,1.838257762831921e-13,5225
9,0,0,2.582560879489307e-05,1.87827589012767e-13,5122
10,0,0,2.415131711915642e-05,1.758835795591519e-13,4840
11,0,0,2.26988540786284e-05,1.651522038665074e-13,4587
12,0,0,2.156128724594659e-05,1.560512843077688e-13,4334
13,0,0,2.005801530571729e-05,1.425886944740019e-13,4089
14,0,0,1.8840544780064e-05,1.324703265219272e-13,3908
15,0,0,1.882174929733757e-05,1.35164186107306e-13,3795
16,0,0,1.734348088508442e-05,1.257924642369907e-13,3544
17,0,0,1.739144322058595e-05,1.285821597604169e-13,3471
18,0,0,1.596509104871797e-05,1.18773059833241e-13,3253
19,0,0,1.597386063041491e-05,1.167582807687549e-13,3278
20,0,0,1.501842748884805e-05,1.085872736158145e-13,3071
21,0,0,1.472971864616266e-05,1.114973804420453e-13,2939
22,0,0,1.434231156053116e-05,1.052457516432543e-13,2909
23,0,0,1.425669656999457e-05,1.061922225014642e-13,2893
24,0,0,1.362829098751397e-05,1.033776287871611e-13,2778
25,0,0,1.243606259075977e-05,8.951159833212598e-14,2587
26,0,0,1.263265683047343e-05,9.596207833469327e-14,2554
27,0,0,1.225824776693602e-05,8.648181017631599e-14,2537
28,0,0,1.197280795980797e-05,8.806400136593679e-14,2469
29,0,0,1.137094530072064e-05,8.680011506862103e-14,2310
30,0,0,1.147424600042641e-05,8.535308763628328e-14,2330
31,0,0,1.141770857878619e-05,8.258091668574801e-14,2360
32,0,0,1.079469889901653e-05,7.897111424187613e-14,2265
33,0,0,1.102765157536472e-05,8.197203631732624e-14,2245
34,0,0,1.040869818890862e-05,7.708769140460144e-14,2148
35,0,0,1.033211226848755e-05,7.504841262415649e-14,2155
36,0,0,1.037682618459573e-05,8.053244421999639e-14,2089
37,0,0,1.06236618343848e-05,7.998066452549353e-14,2140
38,0,0,1.021301944816406e-05,7.480927689698265e-14,2156
39,0,0,1.101420467021676e-05,8.488593113859102e-14,2203
40,0,0,1.025200384809372e-05,7.745598335654062e-14,2095
41,0,0,1.064682706271523e-05,8.214959893492734e-14,2184
42,0,0,1.111545409533766e-05,8.629473378526004e-14,2234
43,0,0,1.161087388358148e-05,8.913742359990167e-14,2305
44,0,0,1.197310536435739e-05,9.297474832396234e-14,2426
45,0,0,1.262355990122319e-05,9.728971230247579e-14,2563
46,0,0,1.329801093801686e-05,1.026504115077353e-13,2646
47,0,0,1.36157065712602e-05,1.066070739139734e-13,2754
48,0,0,1.535580604985341e-05,1.220012621842809e-13,2965
49,0,0,1.640293979239535e-05,1.282558682589764e-13,3300
50,0,0,1.828192109184848e-05,1.457385117272732e-13,3603
51,0,0,1.999302459389258e-05,1.562740181057749e-13,4032
52,0,0,2.268514994368785e-05,1.74541218368759e-13,4587
53,0,0,2.516143038381195e-05,1.903190847200997e-13,5114
54,0,0,3.021429012988175e-05,2.354314596535119e-13,6056
55,0,0,3.503429730809499e-05,2.705107375811655e-13,7075
56,0,0,4.315967071063861e-05,3.329314739369093e-13,8731
57,0,0,5.262842873499593e-05,3.941439462936542e-13,10721
58,0,0,6.647850246555144e-05,4.963661133686342e-13,13571
59,0,0,8.417697993194615e-05,6.204996609917499e-13,17517
60,0,0,0.0001153822753354754,8.461705276073727e-13,24141
61,0,0,0.000167695269510175,1.200869874121046e-12,35366
62,0,0,0.0002676092710346992,1.874352912017642e-12,56656
63,0,0,0.0004687233004115925,3.219200852571692e-12,97828
64,0,0,0.0008086776310476219,5.452426337437288e-12,165617
65,0,0,0.001216168222335279,8.150311755985879e-12,244607
66,0,0,0.001517305686095461,1.014103364556332e-11,304844
67,0,0,0.001680489583721691,1.127166095478067e-11,337448
68,0,0,0.001737897928404224,1.164728368555162e-11,350561
69,0,0,0.001768134633062733,1.184631629054624e-11,357439
70,0,0,0.001785008366652222,1.202239862844113e-11,360606
71,0,0,0.001774064545503105,1.195846506135633e-11,358649
72,0,0,0.001758617763921415,1.183850753904022e-11,355655
73,0,0,0.001761196797167195,1.188121957652164e-11,355627
74,0,0,0.001763481802189757,1.191507991940995e-11,356471
75,0,0,0.001762594150489678,1.186347788283267e-11,356705
76,0,0,0.001758434852398726,1.186407354097024e-11,355442
77,0,0,0.001760255485032528,1.185575380322988e-11,355869
78,0,0,0.001764977946220585,1.187015758128824e-11,357415
79,0,0,0.001784504742814312,1.200116224359354e-11,360610
80,0,0,0.001770593978693814,1.18798254166677e-11,357611
81,0,0,0.001734970637281169,1.164058496790382e-11,349988
82,0,0,0.00167302208917787,1.119665774649402e-11,336233
83,0,0,0.00152141979220617,1.020444693658751e-11,304432
84,0,0,0.001217685728173125,8.167512227697037e-12,245063
85,0,0,0.0008056596423755644,5.420603716425969e-12,165173
86,0,0,0.0004619186907463972,3.149756702023257e-12,96855
87,0,0,0.000264958851784783,1.842361771699423e-12,56429
88,0,0,0.0001676208047125057,1.197724548931949e-12,35486
89,0,0,0.0001162168225645538,8.422071045959794e-13,24441
90,0,0,8.56601358962793e-05,6.333153638462642e-13,17745
91,0,0,6.666592944550685e-05,5.001742469428121e-13,13707
92,0,0,5.334625464051847e-05,4.053106341922752e-13,10855
93,0,0,4.330331344385194e-05,3.290376128536209e-13,8724
94,0,0,3.642061227292532e-05,2.828999619761631e-13,7296
95,0,0,3.071809648742986e-05,2.305543475909762e-13,6318
96,0,0,2.66363378482914e-05,2.045501257954696e-13,5298
97,0,0,2.330430194264373e-05,1.839435000451809e-13,4624
98,0,0,2.002490463982668e-05,1.559340552908234e-13,3957
99,0,0,1.775798308281033e-05,1.392033363688734e-13,3558
100,0,0,1.679490338573884e-05,1.328744845967478e-13,3348
101,0,0,1.582989543839425e-05,1.248430216726828e-13,3121
102,0,0,1.437438088641223e-05,1.143407617059094e-13,2831
103,0,0,1.367058410304425e-05,1.070077080696087e-13,2719
104,0,0,1.306808286188632e-05,1.029922219609597e-13,2598
105,0,0,1.250641748098815e-05,9.969116757086225e-14,2463
106,0,0,1.149298972007045e-05,8.939847688532548e-14,2309
107,0,0,1.07732235455291e-05,8.162133863036703e-14,2217
108,0,0,1.114385929393355e-05,8.800404706674155e-14,2242
109,0,0,1.108529867485525e-05,8.769117301554365e-14,2204
110,0,0,1.039881827924363e-05,8.181202385418335e-14,2087
111,0,0,1.040466947766356e-05,7.664757706093109e-14,2144
112,0,0,1.066150209015011e-05,8.332279202250681e-14,2130
113,0,0,1.042414764977181e-05,7.988260367910904e-14,2138
114,0,0,1.107522769624003e-05,8.379080810229442e-14,2222
115,0,0,1.06679119108197e-05,7.902192046092669e-14,2176
116,0,0,1.084343758815796e-05,7.649706369568652e-14,2244
117,0,0,1.072341641053269e-05,7.936080953554492e-14,2196
118,0,0,1.116611230834987e-05,8.603784748274572e-14,2239
119,0,0,1.11827587275612e-05,8.550596134413348e-14,2276
120,0,0,1.13373384595122e-05,8.303126733650805e-14,2325
121,0,0,1.190059571049774e-05,8.934041479243075e-14,2423
122,0,0,1.245630131298322e-05,9.334215390188456e-14,2540
123,0,0,1.292745647028611e-05,9.776168880664573e-14,2618
124,0,0,1.302163654686035e-05,9.775284724375246e-14,2646
125,0,0,1.316705526135256e-05,9.916006024181897e-14,2673
126,0,0,1.401275131193333e-05,1.012396929506805e-13,2857
127,0,0,1.377284747740085e-05,9.94904664973895e-14,2814
128,0,0,1.480899848190952e-05,1.094480468870819e-13,2938
129,0,0,1.450843315318601e-05,1.066882571095487e-13,2987
130,0,0,1.569378005437702e-05,1.13420935166169e-13,3209
131,0,0,1.66582501684421e-05,1.224947251527697e-13,3319
132,0,0,1.650438724279312e-05,1.189972494880477e-13,3376
133,0,0,1.786516062401006e-05,1.287438203668494e-13,3653
134,0,0,1.835344218917771e-05,1.30460003602887e-13,3767
135,0,0,2.014386287887335e-05,1.476468536190832e-13,4019
136,0,0,2.060307983179734e-05,1.504953881360097e-13,4135
137,0,0,2.118901271841568e-05,1.503153728229691e-13,4351
138,0,0,2.189789966659875e-05,1.560888900373994e-13,4500
139,0,0,2.341421252246847e-05,1.689082935475911e-13,4710
140,0,0,2.422250634400481e-05,1.715906478978737e-13,4962
141,0,0,2.597960259213886e-05,1.822459190018729e-13,5331
142,0,0,2.803945858039585e-05,1.970250228700128e-13,5676
143,0,0,2.923266396203196e-05,2.071984099246113e-13,5949
144,0,0,3.034809781000376e-05,2.11454126509702e-13,6204
145,0,0,3.227487615140665e-05,2.28428568532363e-13,6539
146,0,0,3.426301217483346e-05,2.390289667995081e-13,6952
147,0,0,3.558956319679483e-05,2.48775874937254e-13,7250
148,0,0,3.774521823137644e-05,2.643256811392244e-13,7689
149,0,0,3.969037452279096e-05,2.741398626524853e-13,8066
