# mesh name: latMid2D
# primitive scorer name: latMidDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,3.160179725829796e-07,2.652179561325613e-15,110
1,0,0,4.423241202467285e-07,3.585013166949666e-15,134
2,0,0,3.849883244015172e-07,2.355809989105261e-15,154
3,0,0,4.808109414541548e-07,3.994921321409185e-15,154
4,0,0,4.590049634211378e-07,3.524217760207462e-15,136
5,0,0,4.136299964216159e-07,3.175464122957129e-15,144
6,0,0,4.416136001293919e-07,3.326407359304023e-15,137
7,0,0,4.337476530142468e-07,3.226824004554544e-15,150
8,0,0,4.366885486666345e-07,2.81030000598871e-15,155
9,0,0,4.796500278620126e-07,3.581679306779736e-15,156
10,0,0,4.520034656131322e-07,3.400312577809048e-15,157
11,0,0,4.223298609294065e-07,2.846622724347852e-15,149
12,0,0,5.224343395671953e-07,4.209931288357143e-15,163
13,0,0,4.283530646565105e-07,2.665893313090547e-15,159
14,0,0,5.629186285389727e-07,4.168666932670515e-15,162
15,0,0,6.626729358986796e-07,5.427393816207275e-15,192
16,0,0,5.415002816375397e-07,4.592594723871413e-15,176
17,0,0,5.691342743286386e-07,4.339852068243823e-15,193
18,0,0,6.000391812236726e-07,4.950592901674474e-15,197
19,0,0,6.742393155236915e-07,5.568545283180443e-15,223
20,0,0,6.708904742091074e-07,5.943698223197753e-15,197
21,0,0,6.446865899555396e-07,5.477543355135094e-15,195
22,0,0,5.996807078773172e-07,4.41007586681779e-15,198
23,0,0,7.119229020150875e-07,6.834077573341413e-15,202
24,0,0,7.896064421136154e-07,6.752601098215272e-15,238
25,0,0,9.375023047336661e-07,7.501374209654282e-15,263
26,0,0,1.069531318714835e-06,7.997958679001263e-15,292
27,0,0,1.367758049305225e-06,1.129694799618301e-14,364
28,0,0,1.584866160202723e-06,1.279146244880491e-14,390
29,0,0,2.230059653670343e-06,1.90964513986899e-14,484
30,0,0,2.876093554299722e-06,2.479540131141748e-14,624
31,0,0,4.124044405083714e-06,3.643155374785205e-14,848
32,0,0,5.750370374023544e-06,5.067946133084855e-14,1086
33,0,0,7.48407421468345e-06,6.451190767592604e-14,1420
34,0,0,9.502701322096883e-06,7.819866509415238e-14,1869
35,0,0,1.293206629077383e-05,1.064368131202497e-13,2475
36,0,0,1.726588789544223e-05,1.44165412889118e-13,3194
37,0,0,2.237734894581474e-05,1.883991554530812e-13,4151
38,0,0,2.842074601469614e-05,2.330533338434723e-13,5371
39,0,0,3.788830929296476e-05,3.134479412089218e-13,7108
40,0,0,4.820815622883951e-05,3.961765314037433e-13,9162
41,0,0,6.261179836541223e-05,5.062346660264953e-13,11907
42,0,0,7.992513193474964e-05,6.346950316648791e-13,15529
43,0,0,0.0001039833723925139,8.300587198271937e-13,20273
44,0,0,0.0001352409572520387,1.064128476222751e-12,26590
45,0,0,0.0001749271566981245,1.362757507927126e-12,34618
46,0,0,0.0002253373014732383,1.73218895902754e-12,45015
47,0,0,0.0002892142741245125,2.184142911966526e-12,57954
48,0,0,0.0003678246147238805,2.758702482712588e-12,73395
49,0,0,0.0004524302616541074,3.370755716201247e-12,90020
50,0,0,0.0005378576002320013,4.01945624108239e-12,106145
51,0,0,0.0006129138905703189,4.563023186597072e-12,121094
52,0,0,0.0006763850632819691,5.056835172298747e-12,133142
53,0,0,0.0007299588256617526,9.118240366286859e-12,143717
54,0,0,0.0007669802436078478,5.711494892620979e-12,151716
55,0,0,0.0007935434290090613,5.935082452089383e-12,156936
56,0,0,0.0008131418039038038,6.083292072529902e-12,160724
57,0,0,0.0008312343709267192,6.270125054808669e-12,163797
58,0,0,0.000836778847023624,6.259351508300593e-12,165494
59,0,0,0.0008470160509794268,6.392655336563297e-12,166922
60,0,0,0.0008502924074852765,6.419548632305946e-12,167419
61,0,0,0.0008591916175919875,6.54775694864483e-12,169119
62,0,0,0.0008627908463588814,6.515139815154893e-12,169647
63,0,0,0.0008599178856286846,6.483801409124075e-12,169087
64,0,0,0.0008607349364808558,6.518646255339699e-12,169123
65,0,0,0.0008587783715306739,6.495744386422045e-12,169105
66,0,0,0.0008659399355231675,6.566114660679878e-12,169886
67,0,0,0.0008656982298252794,6.56187984304743e-12,170235
68,0,0,0.0008658346764170646,6.528417555991545e-12,170215
69,0,0,0.0008643971425629583,6.542134490414244e-12,170092
70,0,0,0.0008649303040211076,6.582942627160688e-12,169559
71,0,0,0.000863990136939232,6.534423832034153e-12,169690
72,0,0,0.0008626783041332463,6.529842156284396e-12,169391
73,0,0,0.0008582184604114983,6.496278578650152e-12,168495
74,0,0,0.0008559320108820118,6.452041795246865e-12,168587
75,0,0,0.0008603033250647076,6.51246629377483e-12,169013
76,0,0,0.0008585232549817883,6.506995178620948e-12,168557
77,0,0,0.0008602524638662252,6.515799963668386e-12,168982
78,0,0,0.0008629384122623622,6.533424284583128e-12,169315
79,0,0,0.000862337068122001,6.531994055047908e-12,169644
80,0,0,0.000863786721997712,6.526086862078337e-12,169749
81,0,0,0.0008619209991560836,6.508417404439662e-12,169414
82,0,0,0.0008639251909395032,6.538383515012926e-12,169987
83,0,0,0.000865715015977051,6.558714685395376e-12,169842
84,0,0,0.0008625453044913062,6.512574087635855e-12,169759
85,0,0,0.0008598814884105819,6.491632155460505e-12,169254
86,0,0,0.0008614827063170759,6.51340654565131e-12,169268
87,0,0,0.0008569769500659759,6.458797093039407e-12,168806
88,0,0,0.0008522889142271343,6.405622944031382e-12,168076
89,0,0,0.0008489106930319956,6.388541798639805e-12,167232
90,0,0,0.0008450890844347351,6.357026261895403e-12,166579
91,0,0,0.0008382009415825833,6.318817763907833e-12,165090
92,0,0,0.0008257160673303669,6.19242107772115e-12,163344
93,0,0,0.0008175143885306719,6.133457231848677e-12,161376
94,0,0,0.0007952099212631042,5.947248751473055e-12,157081
95,0,0,0.0007646191084532409,5.719021604196118e-12,150877
96,0,0,0.0007257947825867546,5.404113885094414e-12,143161
97,0,0,0.0006800531919551401,5.061556160536179e-12,134183
98,0,0,0.0006142237649723331,4.561050524475179e-12,121525
99,0,0,0.0005351534629948606,3.960148807219205e-12,106314
100,0,0,0.0004562441941395409,3.413879880143976e-12,90426
101,0,0,0.0003704111126979093,2.784117279062241e-12,73761
102,0,0,0.0002941760992584847,2.22993371258114e-12,58805
103,0,0,0.0002276194823157888,1.731947362586589e-12,45573
104,0,0,0.000176063525548508,1.363211925843426e-12,34986
105,0,0,0.000136257761172652,1.069058304125908e-12,26784
106,0,0,0.0001058631723865676,8.4384899258053e-13,20579
107,0,0,8.179877626688953e-05,6.615012325733502e-13,15716
108,0,0,6.245137631070545e-05,5.065626758859295e-13,11952
109,0,0,4.87233038720618e-05,4.0285767962244e-13,9186
110,0,0,3.807118878906278e-05,3.157742944417401e-13,7136
111,0,0,2.908902323470299e-05,2.401957635166253e-13,5474
112,0,0,2.205864079533562e-05,1.89785238841698e-13,4082
113,0,0,1.732279506143681e-05,1.502312302348537e-13,3139
114,0,0,1.35002656714661e-05,1.188798613441728e-13,2467
115,0,0,9.482975096021485e-06,8.107962787303715e-14,1862
116,0,0,7.284026867074289e-06,6.217843468764616e-14,1411
117,0,0,5.355639174555015e-06,4.508578249583377e-14,1064
118,0,0,3.801434648083022e-06,3.065976668870722e-14,811
119,0,0,2.927039615938992e-06,2.504188900891605e-14,609
120,0,0,2.234363186389165e-06,1.873447593445499e-14,518
121,0,0,1.655204879045787e-06,1.327760733204055e-14,417
122,0,0,1.396006867701178e-06,1.304072943222556e-14,333
123,0,0,1.08410704852741e-06,9.844960107273502e-15,292
124,0,0,8.213472959700196e-07,7.205264932862234e-15,262
125,0,0,6.705090766365095e-07,5.12655872924735e-15,223
126,0,0,7.535814947947935e-07,6.289916726041856e-15,229
127,0,0,5.942466054301937e-07,4.12701367154114e-15,212
128,0,0,5.888281873251898e-07,4.859143008993778e-15,195
129,0,0,5.628831218496899e-07,4.165473754268187e-15,188
130,0,0,5.46030054622576e-07,3.671209944668087e-15,218
131,0,0,6.341759656213243e-07,4.837670595701283e-15,201
132,0,0,4.710270197913096e-07,3.411122813889676e-15,164
133,0,0,5.195436476791981e-07,4.03877581385098e-15,177
134,0,0,5.913091638351508e-07,4.801679301997842e-15,172
135,0,0,5.797167888104815e-07,4.712652747096843e-15,173
136,0,0,4.288107579964336e-07,3.422014688142298e-15,151
137,0,0,4.996477055324138e-07,3.55136902857655e-15,176
138,0,0,4.346030597062415e-07,2.968558867366494e-15,156
139,0,0,4.387125030505315e-07,3.161095667788864e-15,156
140,0,0,4.849685837096254e-07,3.704618579125402e-15,159
141,0,0,4.431666006458275e-07,3.403685628846015e-15,145
142,0,0,3.154126102266424e-07,1.763958919582723e-15,121
143,0,0,4.876930873457878e-07,3.69249586125482e-15,151
144,0,0,4.735044257221753e-07,3.590330041374353e-15,156
145,0,0,3.747561026336518e-07,2.358215487791287e-15,121
146,0,0,3.755620599426233e-07,2.627174436306128e-15,123
147,0,0,6.18109320149672e-07,6.301483745422241e-15,158
148,0,0,5.371957061826499e-07,4.850928259012511e-15,161
149,0,0,5.217458608500162e-07,5.370505953169714e-15,144
