# mesh name: latR50_2D
# primitive scorer name: latR50Dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,3.847526198967966e-05,2.698378362086397e-13,7829
1,0,0,3.664586702916287e-05,2.60639131255396e-13,7379
2,0,0,3.437230283314763e-05,2.470925386534528e-13,6949
3,0,0,3.241103408161519e-05,2.367547088746241e-13,6543
4,0,0,2.991023673001801e-05,2.139557889936566e-13,6082
5,0,0,2.907405011172293e-05,2.085710619824855e-13,5928
6,0,0,2.699958403643688e-05,1.90890794972917e-13,5512
7,0,0,2.528072320109991e-05,1.79668761794755e-13,5222
8,0,0,2.410182134321672e-05,1.742087819335466e-13,4942
9,0,0,2.354978503238863e-05,1.678346513323401e-13,4821
10,0,0,2.224901959118602e-05,1.67284332462864e-13,4424
11,0,0,2.165705663830012e-05,1.580637185083694e-13,4334
12,0,0,2.040081179310371e-05,1.479235322471374e-13,4160
13,0,0,1.958577383251576e-05,1.485475518008201e-13,3917
14,0,0,1.862146798074787e-05,1.377140415090709e-13,3761
15,0,0,1.744935057393541e-05,1.267759495421498e-13,3599
16,0,0,1.655493441781265e-05,1.203584458114563e-13,3360
17,0,0,1.468424934984059e-05,1.060380210549254e-13,3063
18,0,0,1.413067126714085e-05,1.01519920612992e-13,2954
19,0,0,1.376130531864278e-05,1.00905121276889e-13,2854
20,0,0,1.405397354841454e-05,1.064810750170434e-13,2829
21,0,0,1.363106920798014e-05,9.997920746762543e-14,2770
22,0,0,1.24791431599058e-05,9.153186971288189e-14,2601
23,0,0,1.211677274334656e-05,9.10807943394632e-14,2479
24,0,0,1.136927186465659e-05,8.310295220505725e-14,2344
25,0,0,1.142310170794905e-05,8.607677856755462e-14,2304
26,0,0,1.116173639203611e-05,8.552351685083224e-14,2289
27,0,0,1.062535371108492e-05,7.904895280316456e-14,2169
28,0,0,1.001692037569289e-05,7.292327661599953e-14,2077
29,0,0,1.015546820315037e-05,7.629814385343047e-14,2080
30,0,0,9.923259616061909e-06,7.637560336729402e-14,2034
31,0,0,9.643998854622939e-06,7.399668406169596e-14,1949
32,0,0,9.182264950372547e-06,6.8450097498473e-14,1900
33,0,0,9.391401773267198e-06,7.178711458461009e-14,1876
34,0,0,8.823626118671189e-06,6.686452162094566e-14,1830
35,0,0,8.893519637698064e-06,6.83743389352746e-14,1837
36,0,0,8.784041589686684e-06,6.678807874540945e-14,1820
37,0,0,8.949758652464038e-06,6.724880141069742e-14,1853
38,0,0,9.200384532563335e-06,7.364750289403059e-14,1807
39,0,0,8.749891248787467e-06,6.481941260685547e-14,1804
40,0,0,9.290261815091762e-06,7.311158475878517e-14,1873
41,0,0,1.040665390221761e-05,8.539372723535879e-14,2022
42,0,0,1.028031738818489e-05,8.208714902505053e-14,2069
43,0,0,1.116752866913453e-05,8.942853879266914e-14,2228
44,0,0,1.147267876804424e-05,9.116043009338952e-14,2269
45,0,0,1.180374101480075e-05,9.086283080744787e-14,2413
46,0,0,1.329617653099739e-05,1.054233077421519e-13,2587
47,0,0,1.414175039744626e-05,1.107560893609936e-13,2822
48,0,0,1.657959439094947e-05,1.333010880313888e-13,3220
49,0,0,1.851520430685409e-05,1.482835813379289e-13,3651
50,0,0,2.115543759188089e-05,1.663647439068482e-13,4178
51,0,0,2.471650534538592e-05,1.973433421024011e-13,4876
52,0,0,2.888453592093346e-05,2.24776750731245e-13,5746
53,0,0,3.292822210617012e-05,2.49429139511117e-13,6654
54,0,0,3.993333569253486e-05,3.084205597268943e-13,8009
55,0,0,4.816161032431299e-05,3.760858102344393e-13,9650
56,0,0,5.856538741585477e-05,4.423745776541867e-13,11989
57,0,0,7.342189377067937e-05,5.416131618474131e-13,15270
58,0,0,9.411827616858664e-05,6.912584639654059e-13,19634
59,0,0,0.000124491464577231,9.04090202330137e-13,26061
60,0,0,0.0001719098226699735,1.240894823047219e-12,36442
61,0,0,0.0002488801374268224,1.749092253206905e-12,53424
62,0,0,0.0003767360795703179,2.603199253581185e-12,80075
63,0,0,0.0005655113150303348,3.86315665444834e-12,118926
64,0,0,0.0008191677850447097,5.541795762161191e-12,169364
65,0,0,0.001097731413710316,7.416107019394411e-12,223417
66,0,0,0.001340617891234938,9.056398850299757e-12,271355
67,0,0,0.001515543045479942,1.023584827186193e-11,306608
68,0,0,0.001621727094762848,1.09783262750297e-11,329061
69,0,0,0.001685768569172899,1.142753044957912e-11,342416
70,0,0,0.001717408778050785,1.164209324055091e-11,349802
71,0,0,0.001732351195632338,1.173806349050021e-11,353357
72,0,0,0.001736132496665608,1.181176906232416e-11,353244
73,0,0,0.00173441142611415,1.178510473597149e-11,353331
74,0,0,0.001738529159715938,1.183184474236819e-11,354192
75,0,0,0.00173863404299225,1.182488620894243e-11,353874
76,0,0,0.001737107795290418,1.18310480063117e-11,353429
77,0,0,0.00174247841868486,1.186914645771502e-11,353862
78,0,0,0.001728471385905712,1.173470462511054e-11,352323
79,0,0,0.001722649911120361,1.1691411363938e-11,350641
80,0,0,0.001688416142913475,1.145967244005458e-11,342734
81,0,0,0.001624621935404235,1.101274642122659e-11,329396
82,0,0,0.00151385429405899,1.025018833971865e-11,306647
83,0,0,0.001338069454544064,9.032629451344231e-12,271087
84,0,0,0.001095288480849126,7.382246721969983e-12,223563
85,0,0,0.0008221232146248328,5.581193546744945e-12,169808
86,0,0,0.0005644559411563758,3.856896315384656e-12,118989
87,0,0,0.0003749596515189702,2.596149698404362e-12,79628
88,0,0,0.0002507563851868546,1.770187981755644e-12,53447
89,0,0,0.0001713274561578291,1.231561864073774e-12,36352
90,0,0,0.0001242096349398343,9.070767611971879e-13,26094
91,0,0,9.363950963709442e-05,6.901195257585564e-13,19461
92,0,0,7.29610549163742e-05,5.459853251828219e-13,15141
93,0,0,6.010653629279736e-05,4.549273272791642e-13,12077
94,0,0,4.757900135073289e-05,3.580031378131518e-13,9739
95,0,0,3.951927233822909e-05,3.013883863172557e-13,7941
96,0,0,3.261508982407049e-05,2.50452614367838e-13,6620
97,0,0,2.885030302494022e-05,2.271459714720194e-13,5655
98,0,0,2.454351029859673e-05,1.935565066710453e-13,4869
99,0,0,2.155281710967259e-05,1.682302008622648e-13,4286
100,0,0,1.89541646567413e-05,1.48592770952085e-13,3720
101,0,0,1.689853199020973e-05,1.337322059746965e-13,3347
102,0,0,1.486602185395446e-05,1.191758323276528e-13,2931
103,0,0,1.352920937453834e-05,1.080616166275929e-13,2649
104,0,0,1.248444834316886e-05,9.803052013816107e-14,2478
105,0,0,1.157116475158879e-05,8.971762849472637e-14,2336
106,0,0,1.156699237295741e-05,9.798878206758892e-14,2239
107,0,0,9.999486917840858e-06,7.665044195336323e-14,2066
108,0,0,9.964582952699904e-06,7.741382785812006e-14,1994
109,0,0,9.543275292138852e-06,7.423959417880618e-14,1896
110,0,0,9.197872105880163e-06,6.911264625880498e-14,1918
111,0,0,9.191078250695664e-06,7.205685283331464e-14,1843
112,0,0,8.924902459138949e-06,6.863989596705369e-14,1825
113,0,0,8.883809944188259e-06,6.744520965883601e-14,1827
114,0,0,9.045653023388343e-06,7.40390667891431e-14,1793
115,0,0,9.02027368918622e-06,6.850824706155368e-14,1859
116,0,0,9.486532744026582e-06,7.540421861517834e-14,1923
117,0,0,9.326927889637955e-06,6.916367735952826e-14,1925
118,0,0,9.393038238141528e-06,7.608958960201679e-14,1893
119,0,0,9.700264097294256e-06,7.443102216325215e-14,1983
120,0,0,9.781830645077083e-06,7.213801350924073e-14,2037
121,0,0,1.060275904269903e-05,8.189567931735368e-14,2162
122,0,0,1.045326337736667e-05,7.734967021623634e-14,2180
123,0,0,1.062658974738912e-05,7.904767117426137e-14,2214
124,0,0,1.16589558388806e-05,8.846386657149266e-14,2334
125,0,0,1.183998426762965e-05,8.999261026332941e-14,2371
126,0,0,1.260138345185151e-05,9.341353794697081e-14,2534
127,0,0,1.297986162977787e-05,9.612662438530396e-14,2658
128,0,0,1.301025780354686e-05,9.63800465987576e-14,2637
129,0,0,1.376928440816097e-05,1.0528153639886e-13,2686
130,0,0,1.4076383715325e-05,1.051790885899337e-13,2896
131,0,0,1.51441965610298e-05,1.114940641948987e-13,3056
132,0,0,1.525526884464087e-05,1.100818035527952e-13,3137
133,0,0,1.608427567604477e-05,1.144433631805476e-13,3344
134,0,0,1.724627055980857e-05,1.205387678907369e-13,3580
135,0,0,1.873808561692332e-05,1.391350754565029e-13,3753
136,0,0,1.934455758080913e-05,1.438111783868851e-13,3883
137,0,0,2.03051477456954e-05,1.469810983315585e-13,4156
138,0,0,2.194791574520832e-05,1.669208992985589e-13,4308
139,0,0,2.222687195690521e-05,1.640381573254413e-13,4508
140,0,0,2.352614740121897e-05,1.729716865223878e-13,4723
141,0,0,2.496557840545611e-05,1.787184955278381e-13,5006
142,0,0,2.594316792096682e-05,1.872832118888228e-13,5253
143,0,0,2.739817263887297e-05,1.964829893918023e-13,5562
144,0,0,2.903326032998773e-05,2.094829375427479e-13,5820
145,0,0,3.03133461440966e-05,2.161231474904378e-13,6190
146,0,0,3.224329632390663e-05,2.265648776199962e-13,6581
147,0,0,3.497347577186675e-05,2.552026809504269e-13,6965
148,0,0,3.530250452335058e-05,2.468945173316516e-13,7243
149,0,0,3.713262338362512e-05,2.618258884744273e-13,7557
