# mesh name: latMid2D
# primitive scorer name: latMidDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,3.467643703505649e-05,2.592634354028805e-13,6863
1,0,0,3.435793173013893e-05,2.612098236847304e-13,6754
2,0,0,3.257311556484915e-05,2.497506482967442e-13,6446
3,0,0,3.169282707899435e-05,2.422666899103253e-13,6133
4,0,0,2.976506227076419e-05,2.219072345986283e-13,5884
5,0,0,2.775232043408988e-05,2.133841759027575e-13,5488
6,0,0,2.755329621390258e-05,2.09878696292114e-13,5424
7,0,0,2.635662995567099e-05,2.037069743716648e-13,5176
8,0,0,2.485126411721687e-05,1.890763370296766e-13,4878
9,0,0,2.38848613781324e-05,1.923976729787914e-13,4628
10,0,0,2.223034310389271e-05,1.675788426684127e-13,4414
11,0,0,2.185886885788356e-05,1.722328151767956e-13,4213
12,0,0,2.056802301666152e-05,1.612657333399699e-13,4030
13,0,0,1.954226569956815e-05,1.549118317200124e-13,3800
14,0,0,1.759508042863762e-05,1.348182551602415e-13,3451
15,0,0,1.68587201898949e-05,1.285530462982427e-13,3368
16,0,0,1.596414442732189e-05,1.220558770795681e-13,3181
17,0,0,1.46363441667921e-05,1.115660727203918e-13,2908
18,0,0,1.409962007473863e-05,1.107980927445833e-13,2790
19,0,0,1.279655528664183e-05,9.713328472626598e-14,2557
20,0,0,1.303055191695792e-05,1.039431139958138e-13,2522
21,0,0,1.140509114150132e-05,8.786344320224603e-14,2253
22,0,0,1.120120182607355e-05,8.812760883242714e-14,2195
23,0,0,1.049942393034713e-05,7.810413268774647e-14,2094
24,0,0,1.004084502662459e-05,7.769197564953196e-14,1975
25,0,0,9.812142733412343e-06,7.908135986189859e-14,1889
26,0,0,8.763152036614989e-06,6.623809419968124e-14,1769
27,0,0,8.365895562055748e-06,6.577712101238978e-14,1659
28,0,0,7.869072787473814e-06,6.086481240357806e-14,1556
29,0,0,7.531170040439196e-06,6.2459123328484e-14,1467
30,0,0,7.019553058446622e-06,5.325057968519581e-14,1417
31,0,0,6.788749291396218e-06,5.272706765685252e-14,1334
32,0,0,6.319675506592776e-06,4.871368470594856e-14,1278
33,0,0,5.650749036773186e-06,4.230149483982897e-14,1145
34,0,0,5.738847927566214e-06,4.584950098878393e-14,1150
35,0,0,5.435234293891104e-06,4.285721307249472e-14,1075
36,0,0,5.050740318731651e-06,4.053159791172438e-14,978
37,0,0,5.010130375671274e-06,4.17111539929981e-14,982
38,0,0,4.707858180047619e-06,3.597089933452605e-14,962
39,0,0,4.659518747142238e-06,3.743150158524686e-14,943
40,0,0,4.40608010332177e-06,3.486457425961684e-14,880
41,0,0,4.609070202783699e-06,3.911436386917772e-14,915
42,0,0,4.337423840313463e-06,3.364730856129674e-14,898
43,0,0,4.46914769466378e-06,3.58653221611206e-14,882
44,0,0,4.42010611940289e-06,3.308166169312386e-14,898
45,0,0,4.957037430190431e-06,4.026327536121803e-14,957
46,0,0,5.210440970648715e-06,4.229131684116684e-14,1013
47,0,0,6.116514475145811e-06,4.880837580731826e-14,1196
48,0,0,7.647546938007559e-06,6.835224872156223e-14,1378
49,0,0,8.579339279737401e-06,6.886886513169542e-14,1653
50,0,0,1.091481826988615e-05,9.252050440569672e-14,2034
51,0,0,1.356663743866174e-05,1.139945390879384e-13,2536
52,0,0,1.756844215892518e-05,1.396829992067651e-13,3326
53,0,0,2.193673489157461e-05,1.779871223268418e-13,4203
54,0,0,2.782170476484711e-05,2.245581618231328e-13,5236
55,0,0,3.533203333949233e-05,2.81044703597161e-13,6787
56,0,0,4.552215220264467e-05,3.626597103504115e-13,8782
57,0,0,5.950631535196156e-05,4.701247140649512e-13,11472
58,0,0,7.604371839476662e-05,5.887510186976084e-13,15131
59,0,0,9.934451597122181e-05,7.682110455758967e-13,19800
60,0,0,0.0001298665121085752,9.881880735054902e-13,26073
61,0,0,0.0001674519564163868,1.248808984850448e-12,34032
62,0,0,0.0002155027060638375,1.58796863931268e-12,43871
63,0,0,0.0002777496199409063,2.029366888275765e-12,56409
64,0,0,0.000348339515260198,2.558822079669957e-12,70156
65,0,0,0.0004204327921930379,3.042239598188721e-12,84782
66,0,0,0.000489263058458029,3.550048883206748e-12,98294
67,0,0,0.0005485777818325306,3.971704763366123e-12,110005
68,0,0,0.0006025602492198575,4.342335318740402e-12,121024
69,0,0,0.0006418152906727594,4.635174826592008e-12,129243
70,0,0,0.0006765854765187144,4.906240669171459e-12,135752
71,0,0,0.0006897787303975892,4.974027677028861e-12,139126
72,0,0,0.0007020403301991878,5.098694052914389e-12,141560
73,0,0,0.0007161816217194961,5.202099054676778e-12,144145
74,0,0,0.0007205383704051996,5.248237175509384e-12,144781
75,0,0,0.0007211521740141842,5.208254246945341e-12,145459
76,0,0,0.0007182623306015281,5.233536920432262e-12,144230
77,0,0,0.0007046271293389519,5.101111786783458e-12,141956
78,0,0,0.0006932585503481992,5.050350517224014e-12,139167
79,0,0,0.0006696009073155224,4.825689795196034e-12,134853
80,0,0,0.0006458078408955441,4.688844859082841e-12,129519
81,0,0,0.0005989220220275793,4.305806741830916e-12,120568
82,0,0,0.0005477612121820182,3.965623798006444e-12,109804
83,0,0,0.0004863029183150683,3.512305737518866e-12,97934
84,0,0,0.0004168473558652507,3.022338985427874e-12,83940
85,0,0,0.0003493002762831536,2.544308439363693e-12,70586
86,0,0,0.0002786421230380681,2.037165920769918e-12,56674
87,0,0,0.000218989322841871,1.626193393639985e-12,44409
88,0,0,0.0001695153393813879,1.26572557622443e-12,34271
89,0,0,0.0001287398170775383,9.780467539629524e-13,26047
90,0,0,9.987577132064883e-05,7.773528077701666e-13,19655
91,0,0,7.641578042143476e-05,5.951636139098198e-13,14975
92,0,0,5.874951168207004e-05,4.61969412741743e-13,11523
93,0,0,4.535190239685595e-05,3.575643202869735e-13,8771
94,0,0,3.531163642999342e-05,2.834474823284752e-13,6718
95,0,0,2.805221253480863e-05,2.401624423816098e-13,5226
96,0,0,2.139959862259715e-05,1.736878636295011e-13,4018
97,0,0,1.674799481507156e-05,1.399736937582995e-13,3153
98,0,0,1.404983496002046e-05,1.194158611343387e-13,2564
99,0,0,1.121191392695297e-05,9.67279342672256e-14,2065
100,0,0,8.853969741422034e-06,7.633297667620032e-14,1652
101,0,0,7.60586652048578e-06,6.28902379026187e-14,1418
102,0,0,6.54972880304162e-06,5.552907243839656e-14,1247
103,0,0,5.596188392423106e-06,4.590106029131527e-14,1087
104,0,0,5.09456810297728e-06,4.188556439614163e-14,976
105,0,0,4.501435877051123e-06,3.448856671596848e-14,925
106,0,0,4.176235219513886e-06,3.5618328030739e-14,805
107,0,0,3.878484004385546e-06,2.935765573979437e-14,799
