# mesh name: latR50_2D
# primitive scorer name: latR50Dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.848920067598829e-05,1.470917528752065e-13,3465
1,0,0,1.808014848743302e-05,1.437936852412406e-13,3461
2,0,0,1.7692974489805e-05,1.410054162015185e-13,3356
3,0,0,1.781764243365255e-05,1.427749114918718e-13,3394
4,0,0,1.717296196551434e-05,1.351939796350756e-13,3293
5,0,0,1.645318559525813e-05,1.323812896674705e-13,3089
6,0,0,1.532016381288036e-05,1.232480167444556e-13,2909
7,0,0,1.545104606364328e-05,1.284986136910083e-13,2907
8,0,0,1.488889973988745e-05,1.244552539148676e-13,2766
9,0,0,1.350756516864004e-05,1.093963184023568e-13,2575
10,0,0,1.300204915643977e-05,1.053012045933981e-13,2478
11,0,0,1.2213460242399e-05,9.908562888422043e-14,2335
12,0,0,1.197592835223963e-05,1.013469446272378e-13,2228
13,0,0,1.098517503394966e-05,9.395849111556098e-14,2043
14,0,0,1.052651477510038e-05,9.098381774223754e-14,1962
15,0,0,9.259156522296726e-06,7.341475655566513e-14,1788
16,0,0,8.714442312346783e-06,7.242365279275122e-14,1651
17,0,0,8.4783355377278e-06,7.037216005152481e-14,1577
18,0,0,8.219542372141496e-06,6.570785939496884e-14,1573
19,0,0,7.597916888927205e-06,5.976589234422846e-14,1473
20,0,0,7.098002471698452e-06,5.920121303961928e-14,1353
21,0,0,6.349853080759494e-06,5.111553106603669e-14,1265
22,0,0,6.416647820079303e-06,5.325357578994366e-14,1232
23,0,0,5.661795749085985e-06,4.58835248015099e-14,1100
24,0,0,5.412121974115028e-06,4.303658153863497e-14,1085
25,0,0,5.566808859505904e-06,4.751469196483666e-14,1019
26,0,0,5.1263832464793e-06,4.177183755236867e-14,996
27,0,0,4.726418827102804e-06,3.970046373830071e-14,890
28,0,0,3.966810733003969e-06,3.140002167267763e-14,813
29,0,0,4.070509629326112e-06,3.454759017561835e-14,779
30,0,0,3.888790252682456e-06,3.371913975924282e-14,721
31,0,0,3.592220651316894e-06,2.845760320387638e-14,716
32,0,0,3.556761945830724e-06,3.026254361802532e-14,694
33,0,0,3.234879632668709e-06,2.600088505209036e-14,629
34,0,0,3.011192567110068e-06,2.528567742518785e-14,595
35,0,0,2.875213174868276e-06,2.307027115291464e-14,560
36,0,0,2.419614887795685e-06,1.916435152119893e-14,489
37,0,0,2.354835209771784e-06,2.00392595518721e-14,495
38,0,0,2.495281335558921e-06,2.027297850481641e-14,511
39,0,0,2.404459071006664e-06,1.947226857835397e-14,499
40,0,0,2.396415322785142e-06,1.893882713637384e-14,491
41,0,0,2.229757158903188e-06,1.841005857785712e-14,473
42,0,0,2.407906053508409e-06,2.093482471245231e-14,473
43,0,0,2.677383511970491e-06,2.282980977665019e-14,524
44,0,0,2.58985424994222e-06,2.031967067663549e-14,546
45,0,0,3.294300960552093e-06,2.862064508791215e-14,635
46,0,0,3.600452175686805e-06,3.17622718351148e-14,703
47,0,0,4.618418806031571e-06,3.79231468893741e-14,920
48,0,0,6.084906847817034e-06,5.386291227861408e-14,1100
49,0,0,7.179739601037e-06,6.175653306866187e-14,1354
50,0,0,9.766663174563219e-06,7.988924110784403e-14,1799
51,0,0,1.240953964350695e-05,1.055274821792505e-13,2269
52,0,0,1.709436815389239e-05,1.430362480249075e-13,3146
53,0,0,2.186652711760848e-05,1.84315568561487e-13,4028
54,0,0,2.782252579561627e-05,2.325650524103021e-13,5100
55,0,0,3.493843212135084e-05,2.853792394101466e-13,6608
56,0,0,4.558661882656787e-05,3.748804885241852e-13,8569
57,0,0,5.725766914901921e-05,4.704751919504815e-13,10849
58,0,0,6.933291789032827e-05,5.567461019202853e-13,13269
59,0,0,8.772341465445556e-05,7.151839811993717e-13,16484
60,0,0,0.0001066077982558999,8.620349181809083e-13,20186
61,0,0,0.0001261469133129812,9.955109750916943e-13,24300
62,0,0,0.0001514960361088912,1.193861179311682e-12,29035
63,0,0,0.0001772062702065446,1.397895900735629e-12,34070
64,0,0,0.0002030741751237357,1.588227843214835e-12,39153
65,0,0,0.0002340214181694277,1.826553297022228e-12,45050
66,0,0,0.0002578071259722057,2.009484015439591e-12,49733
67,0,0,0.0002858279573957461,2.236560468260828e-12,54873
68,0,0,0.0003107374387218263,2.425820515468274e-12,59703
69,0,0,0.0003324796951949238,2.580068680811726e-12,64153
70,0,0,0.0003484284401983621,2.680701976326055e-12,67512
71,0,0,0.000365423911798114,2.823868407532724e-12,70464
72,0,0,0.0003768679438232413,2.917505668431793e-12,72727
73,0,0,0.0003819726381026699,2.959165689896209e-12,73899
74,0,0,0.0003845470917042121,2.987767230439698e-12,74190
75,0,0,0.0003862127657345426,2.99845701313267e-12,74604
76,0,0,0.0003823511175998799,2.974728448441149e-12,73837
77,0,0,0.0003779002933633512,2.945172101391601e-12,72717
78,0,0,0.0003647018643948286,2.832579801453759e-12,70136
79,0,0,0.0003510186658117698,2.73327422858827e-12,67644
80,0,0,0.0003308343510197448,2.571801019632977e-12,63613
81,0,0,0.0003096918150483316,2.40799625087722e-12,59682
82,0,0,0.0002861693179080963,2.236138868531057e-12,55040
83,0,0,0.0002554621044944449,1.987719024727987e-12,49455
84,0,0,0.0002292909270613185,1.782467082717197e-12,44413
85,0,0,0.0002039816575800695,1.602518828560436e-12,39170
86,0,0,0.0001758158126641077,1.391032074959812e-12,33773
87,0,0,0.0001490110210904984,1.171200031260613e-12,28739
88,0,0,0.0001253847860466503,9.900463082553123e-13,24214
89,0,0,0.0001054858979230826,8.405153116904036e-13,20208
90,0,0,8.74072187768901e-05,7.056283862995743e-13,16690
91,0,0,7.125078255477818e-05,5.794771964963981e-13,13440
92,0,0,5.702453917612505e-05,4.619724093725332e-13,10739
93,0,0,4.487873871459551e-05,3.659021564499974e-13,8430
94,0,0,3.651979044956118e-05,3.037242252553589e-13,6742
95,0,0,2.921331732077007e-05,2.464811605242746e-13,5354
96,0,0,2.238562758815419e-05,1.881388450455943e-13,4114
97,0,0,1.676519938584284e-05,1.391445025868706e-13,3120
98,0,0,1.235831484384516e-05,1.08318095746411e-13,2300
99,0,0,1.008171201364182e-05,8.827351275018767e-14,1808
100,0,0,7.256392792542846e-06,5.98141623162639e-14,1390
101,0,0,5.771671496375232e-06,4.838322728026919e-14,1110
102,0,0,4.78688163201745e-06,4.078124867214928e-14,904
103,0,0,4.057774096264811e-06,3.310796220098416e-14,807
104,0,0,3.320577326125428e-06,2.829296974430557e-14,660
105,0,0,2.789260006096933e-06,2.418291266686943e-14,557
106,0,0,2.381787017224966e-06,1.866337456019452e-14,487
